EVA_NR;DS100;IFOPT;NAME;VERKEHR;LAENGE;BREITE;STATUS
8000001;KA;de:05334:1008;Aachen Hbf;FV;6,09149900;50,7678000;
8000002;TA;de:08136:1000;Aalen Hbf;FV;10,0962710;48,8410130;
8000004;HA;de:05774:7131;Altenbeken;FV;8,94331900;51,7664330;
8000007;FALZ;de:07331:55;Alzey;RV;8,10974900;49,7502000;
8000009;NAN;de:09561:11000;Ansbach;FV;10,5782390;49,2980320;
8000010;NAH;de:09661:99082;Aschaffenburg Hbf;FV;9,14369700;49,9805570;
8000011;AAG;de:01057:3365;Ascheberg(Holst);RV;10,3394810;54,1484620;
8000012;KAU;de:05382:59901;Au(Sieg);RV;7,65653700;50,7737650;
8000013;MA;de:09761:100;Augsburg Hbf;FV;10,8855700;48,3654410;
8000014;TAU;de:08436:1000;Aulendorf;FV;9,64404600;47,9530520;
8000015;FBA;de:06432:8563;Babenhausen(Hess);RV;8,95718200;49,9579630;
8000016;TB;de:08119:7600;Backnang;RV;9,42598900;48,9426760;
8000017;TBF;de:08125:519;Bad Friedrichshall Hbf;RV;9,19977100;49,2315710;
8000019;HBHA;de:03153:4946;Bad Harzburg;RV;10,5554440;51,8881160;
8000020;FBHF;de:06632:202026;Bad Hersfeld;FV;9,71618200;50,8696320;
8000021;SBKN;de:07133:8178;Bad Kreuznach;RV;7,86643500;49,8423990;
8000022;HNDF;de:03257:505;Bad Nenndorf;RV;9,37860300;52,3437350;
8000023;AO;de:01062:37979;Bad Oldesloe;RV;10,3828320;53,8052830;
8000025;NBA;de:09461:20010;Bamberg;FV;10,8994890;49,9007590;
8000026;RB;ch:23005:6;Basel Bad Bf;FV;7,60780500;47,5672880;
8000027;NSCH;de:09376:7410;Schwandorf;FV;12,1042190;49,3261390;
8000028;NBY;de:09462:22000;Bayreuth Hbf;RV;11,5799850;49,9496160;
8000029;FB;de:06632:202110;Bebra;FV;9,79778800;50,9695680;
8000030;KBE;de:05362:89101;Bedburg(Erft);RV;6,57261500;50,9874780;
8000031;FBH;de:06431:236;Bensheim;FV;8,61671700;49,6813290;
8000032;NS;de:09662:28058;Schweinfurt Hbf;RV;10,2129190;50,0353130;
8000033;KSWE;de:05954:8174;Schwelm;RV;7,28968100;51,2905260;
8000034;EBZ;de:07132:90171;Betzdorf(Sieg);RV;7,87005000;50,7892940;
